type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,majority,yes,100,1000,0.0001,0.0,0.25
synthetic,sea,abrupt,0.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,yes,100,1000,0.0001,0.0,0.16666666666666666
synthetic,sea,gradual,0.5,exclude,majority,no,100,1000,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,yes,100,1000,0.0001,0.0,0.3181818181818182
synthetic,sea,gradual,10.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,yes,100,1000,0.0001,0.0,0.5
synthetic,sea,gradual,20.0,exclude,majority,no,100,1000,0.0001,0.0,1.0
